kg,noPossible,timeout,triplesInput,triplesMinimal,time(s)
testInputsToMinimize/h1.owl,0,0,5637,2,4
testInputsToMinimize/ont_1774.owl,0,0,3301,54,89
testInputsToMinimize/ont_2350.owl,0,0,1603,92,45
testInputsToMinimize/ont_255.owl,0,0,7806,30,39
testInputsToMinimize/ont_393.owl,0,0,2709,6,3
testInputsToMinimize/ont_788.owl,0,0,2686,404,491
testInputsToMinimize/p2.owl,0,0,4268,51,63
testInputsToMinimize/p3.owl,0,1,6946,-1,1966
testInputsToMinimize/p4.owl,0,0,2699,169,152
testInputsToMinimize/p5.owl,0,0,918,14,4
testInputsToMinimize/nonMinimizable/ont_1001.owl,1,0,6428,-1,-1
testInputsToMinimize/nonMinimizable/ont_1762.owl,1,0,,-1,-1
